Method,Seed,Precision,Recall,F1
PCA,21,0.9535928143712575,0.9061166429587483,0.9292487235594457
TruncatedSVD,21,0.9502923976608187,0.9246088193456614,0.9372746935832732
Isolation Forest,21,0.13071895424836602,0.02844950213371266,0.04672897196261682
PCA,42,0.9373177842565598,0.914651493598862,0.925845932325414
TruncatedSVD,42,0.9415041782729805,0.9615931721194879,0.9514426460239268
Isolation Forest,42,0.11320754716981132,0.025604551920341393,0.04176334106728538
PCA,84,0.950920245398773,0.8819345661450925,0.915129151291513
TruncatedSVD,84,0.9469026548672567,0.9132290184921764,0.9297610427226647
Isolation Forest,84,0.08759124087591241,0.017069701280227598,0.02857142857142857
PCA,123,0.9338345864661655,0.883357041251778,0.9078947368421053
TruncatedSVD,123,0.9405646359583952,0.9004267425320057,0.9200581395348837
Isolation Forest,123,0.10112359550561797,0.025604551920341393,0.04086265607264472
PCA,777,0.9606060606060606,0.9018492176386913,0.9303008070432869
TruncatedSVD,777,0.9518248175182482,0.9274537695590327,0.9394812680115274
Isolation Forest,777,0.12258064516129032,0.02702702702702703,0.04428904428904429
Transformer (unsup. threshold),21,0.9284210526315789,0.9402985074626866,0.934322033898305
Transformer (val-tuned threshold),21,0.9838337182448037,0.908315565031983,0.9445676274944568
Transformer (unsup. threshold),42,0.9469026548672567,0.9145299145299145,0.9304347826086956
Transformer (val-tuned threshold),42,0.9838337182448037,0.9102564102564102,0.9456159822419534
Transformer (unsup. threshold),84,0.9325842696629213,0.8867521367521367,0.9090909090909091
Transformer (val-tuned threshold),84,0.9809523809523809,0.8803418803418803,0.9279279279279279
Transformer (unsup. threshold),123,0.9450800915331807,0.8824786324786325,0.912707182320442
Transformer (val-tuned threshold),123,0.9832935560859188,0.8803418803418803,0.9289740698985344
Transformer (unsup. threshold),777,0.9488888888888889,0.9104477611940298,0.9292709466811752
Transformer (val-tuned threshold),777,0.9815668202764977,0.908315565031983,0.9435215946843853
DeepLog (top-k binary),21,0.9513184584178499,1.0,0.975051975051975
DeepLog (NLL threshold),21,0.9334719334719335,0.9573560767590619,0.9452631578947368
DeepLog (top-k binary),42,0.9648760330578512,0.9978632478632479,0.9810924369747899
DeepLog (NLL threshold),42,0.9493392070484582,0.9209401709401709,0.9349240780911063
DeepLog (top-k binary),84,0.9688796680497925,0.9978632478632479,0.9831578947368421
DeepLog (NLL threshold),84,0.9426751592356688,0.9487179487179487,0.9456869009584664
DeepLog (top-k binary),123,0.970954356846473,1.0,0.9852631578947368
DeepLog (NLL threshold),123,0.9349240780911063,0.9209401709401709,0.9278794402583423
DeepLog (top-k binary),777,0.9710144927536232,1.0,0.9852941176470589
DeepLog (NLL threshold),777,0.9437229437229437,0.929637526652452,0.9366272824919442
TCN (top-k binary),21,0.9650205761316872,1.0,0.9821989528795811
TCN (NLL threshold),21,0.9306122448979591,0.9722814498933902,0.9509906152241918
TCN (top-k binary),42,0.9668737060041408,0.9978632478632479,0.982124079915878
TCN (NLL threshold),42,0.9519650655021834,0.9316239316239316,0.9416846652267818
TCN (top-k binary),84,0.9648760330578512,0.9978632478632479,0.9810924369747899
TCN (NLL threshold),84,0.9466950959488273,0.9487179487179487,0.9477054429028815
TCN (top-k binary),123,0.9629629629629629,1.0,0.9811320754716981
TCN (NLL threshold),123,0.9354166666666667,0.9594017094017094,0.9472573839662447
TCN (top-k binary),777,0.9730290456431535,1.0,0.9863301787592008
TCN (NLL threshold),777,0.9412997903563941,0.9573560767590619,0.9492600422832981
