Method,Seed,Precision,Recall,F1,top_k,window,num_params,nll_threshold
DeepLog (top-k binary),21,1.0,0.32142857142857145,0.4864864864864865,9,10,75461,
DeepLog (NLL threshold),21,0.2663316582914573,0.37857142857142856,0.31268436578171094,9,10,75461,0.5546019756099364
TCN (top-k binary),21,1.0,0.32142857142857145,0.4864864864864865,9,10,58821,
TCN (NLL threshold),21,0.27979274611398963,0.38571428571428573,0.32432432432432434,9,10,58821,0.5684886749125629
DeepLog (top-k binary),42,0.975609756097561,0.28776978417266186,0.4444444444444444,9,10,75461,
DeepLog (NLL threshold),42,0.26424870466321243,0.3669064748201439,0.3072289156626506,9,10,75461,0.5606709728274908
TCN (top-k binary),42,0.975609756097561,0.28776978417266186,0.4444444444444444,9,10,58821,
TCN (NLL threshold),42,0.24434389140271492,0.38848920863309355,0.3,9,10,58821,0.5690086929292496
DeepLog (top-k binary),84,1.0,0.30935251798561153,0.4725274725274725,9,10,75461,
DeepLog (NLL threshold),84,0.29239766081871343,0.3597122302158273,0.3225806451612903,9,10,75461,0.5959886297886746
TCN (top-k binary),84,1.0,0.30935251798561153,0.4725274725274725,9,10,58821,
TCN (NLL threshold),84,0.30120481927710846,0.3597122302158273,0.32786885245901637,9,10,58821,0.5821640025735634
DeepLog (top-k binary),123,1.0,0.2805755395683453,0.43820224719101125,9,10,75461,
DeepLog (NLL threshold),123,0.23655913978494625,0.31654676258992803,0.27076923076923076,9,10,75461,0.5775027653338233
TCN (top-k binary),123,1.0,0.2805755395683453,0.43820224719101125,9,10,58821,
TCN (NLL threshold),123,0.23404255319148937,0.31654676258992803,0.2691131498470948,9,10,58821,0.5682258314081992
DeepLog (top-k binary),777,0.9555555555555556,0.30714285714285716,0.4648648648648649,9,10,75461,
DeepLog (NLL threshold),777,0.2623762376237624,0.37857142857142856,0.30994152046783624,9,10,75461,0.5526233914618691
TCN (top-k binary),777,0.9555555555555556,0.30714285714285716,0.4648648648648649,9,10,58821,
TCN (NLL threshold),777,0.25120772946859904,0.37142857142857144,0.29971181556195964,9,10,58821,0.5539995181122018
