Method,Seed,Precision,Recall,F1,num_params
PCA,21,0.7639257294429708,0.549618320610687,0.6392896781354052,
TruncatedSVD,21,0.28178368121442127,0.566793893129771,0.376425855513308,
Isolation Forest,21,0.15,0.09732824427480916,0.11805555555555555,
PCA,42,0.760752688172043,0.5400763358778626,0.6316964285714286,
TruncatedSVD,42,0.2113587347232207,0.5610687022900763,0.3070496083550914,
Isolation Forest,42,0.1875,0.12022900763358779,0.14651162790697675,
PCA,84,0.7762803234501348,0.549618320610687,0.6435754189944134,
TruncatedSVD,84,0.8644578313253012,0.5477099236641222,0.6705607476635514,
Isolation Forest,84,0.1830065359477124,0.10687022900763359,0.13493975903614458,
PCA,123,0.46766169154228854,0.5381679389312977,0.5004436557231589,
TruncatedSVD,123,0.40714285714285714,0.5438931297709924,0.46568627450980393,
Isolation Forest,123,0.17261904761904762,0.11068702290076336,0.13488372093023257,
PCA,777,0.3684210526315789,0.5477099236641222,0.4405218726016884,
TruncatedSVD,777,0.38409703504043125,0.5438931297709924,0.45023696682464454,
Isolation Forest,777,0.1697530864197531,0.1049618320610687,0.12971698113207547,
Transformer (unsup. threshold),21,0.2930232558139535,0.45,0.35492957746478876,80070.0
Transformer (val-tuned threshold),21,0.34285714285714286,0.42857142857142855,0.38095238095238093,80070.0
Transformer (unsup. threshold),42,0.18478260869565216,0.2446043165467626,0.21052631578947367,80070.0
Transformer (val-tuned threshold),42,0.37662337662337664,0.20863309352517986,0.26851851851851855,80070.0
Transformer (unsup. threshold),84,0.18232044198895028,0.23741007194244604,0.20625,80070.0
Transformer (val-tuned threshold),84,0.5254237288135594,0.22302158273381295,0.31313131313131315,80070.0
Transformer (unsup. threshold),123,0.17412935323383086,0.2517985611510791,0.20588235294117646,80070.0
Transformer (val-tuned threshold),123,0.6153846153846154,0.11510791366906475,0.19393939393939394,80070.0
Transformer (unsup. threshold),777,0.21287128712871287,0.30714285714285716,0.25146198830409355,80070.0
Transformer (val-tuned threshold),777,0.6904761904761905,0.20714285714285716,0.31868131868131866,80070.0
